-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                         PET::backend::compute_features         0.00%       0.000us         0.00%       0.000us       0.000us     502.471ms       202.44%     502.471ms       6.442ms           0 B           0 B           0 B           0 B            78  
                               PET::backend::preprocess         0.00%       0.000us         0.00%       0.000us       0.000us     332.208ms       133.84%     332.208ms       4.259ms           0 B           0 B           0 B           0 B            78  
                               Optimizer.step#Adam.step         0.00%       0.000us         0.00%       0.000us       0.000us     114.449ms        46.11%     114.449ms       1.907ms           0 B           0 B           0 B           0 B            60  
                         PET::backend::compute_features         3.56%     130.073ms        13.97%     510.187ms       6.541ms       0.000us         0.00%      58.169ms     745.763us       3.75 KB           0 B       2.93 GB      -1.96 GB            78  
    autograd::engine::evaluate_function: AddmmBackward0         1.41%      51.665ms        10.65%     388.929ms     147.321us       0.000us         0.00%      56.118ms      21.257us           0 B           0 B    -841.52 MB      -2.59 GB          2640  
                            PET::concatenate_structures         0.00%       0.000us         0.00%       0.000us       0.000us      51.216ms        20.63%      51.216ms     656.616us           0 B           0 B           0 B           0 B            78  
                                           PET::predict         0.00%       0.000us         0.00%       0.000us       0.000us      50.634ms        20.40%      50.634ms     649.151us           0 B           0 B           0 B           0 B            78  
                                               aten::mm         4.25%     155.348ms         6.56%     239.504ms      40.037us      41.492ms        16.72%      41.508ms       6.939us           0 B           0 B       1.84 GB       1.84 GB          5982  
                                         AddmmBackward0         0.82%      29.774ms         7.20%     262.956ms      99.605us       0.000us         0.00%      37.640ms      14.258us           0 B           0 B       1.77 GB           0 B          2640  
                                           aten::linear         0.51%      18.495ms         4.87%     177.844ms      47.501us       0.000us         0.00%      31.446ms       8.399us           0 B           0 B       2.13 GB           0 B          3744  
